20191026,巴南,南泉,保利小泉别墅,16580元/m2,1套在售二手房
20191026,巴南,南泉,教职工宿舍楼,暂无,0套在售二手房
20191026,巴南,南泉,南温泉度假小镇,暂无,0套在售二手房
20191026,巴南,南泉,碧桂园天麓,暂无,0套在售二手房
